Year,Athlete,Place_no,Time
1979.0,Anne Haug,0.0,N/A
1979.0,Sarah Crowley,0.0,N/A
1979.0,Lucy Charles,0.0,N/A
1979.0,Heather Jackson,0.0,N/A
1979.0,Daniela Ryf,0.0,N/A
1979.0,Rachel Joyce,0.0,N/A
1979.0,Liz Blatchford,0.0,N/A
1979.0,Leanda Cave,0.0,N/A
1979.0,Caroline Steffen,0.0,N/A
1979.0,Julie Dibens,0.0,N/A
1979.0,Virginia Berasategui,0.0,N/A
1979.0,Mirinda Carfrae,0.0,N/A
1979.0,Yvonne van Vlerken,0.0,N/A
1979.0,Sandra Wallenhorst,0.0,N/A
1979.0,Chrissie Wellington,0.0,N/A
1979.0,Samantha McGlone,0.0,N/A
1979.0,Lisa Bentley,0.0,N/A
1979.0,Desiree Ficker,0.0,N/A
1979.0,Michellie Jones,0.0,N/A
1979.0,Kate Major,0.0,N/A
1979.0,Nina Kraft,0.0,N/A
1979.0,Heather Fuhr,0.0,N/A
1979.0,Lori Bowden,0.0,N/A
1979.0,Natascha Badmann,0.0,N/A
1979.0,Isabelle Mouthon,0.0,N/A
1979.0,Fernanda Keller,0.0,N/A
1979.0,Karen Smyers,0.0,N/A
1979.0,Susan Latshaw,0.0,N/A
1979.0,Julie Anne White,0.0,N/A
1979.0,Thea Sybesma,0.0,N/A
1979.0,Sarah Coope,0.0,N/A
1979.0,Terri Schneider,0.0,N/A
1979.0,Kirsten Hanssen,0.0,N/A
1979.0,Erin Baker,0.0,N/A
1979.0,Joanne Ernst,0.0,N/A
1979.0,Paula Newby-Fraser,0.0,N/A
1979.0,Elizabeth Bulman,0.0,N/A
1979.0,Julie Olson,0.0,N/A
1979.0,Patricia Puntous,0.0,N/A
1979.0,Sylviane Puntous,0.0,N/A
1979.0,Eva Ueltzen,0.0,N/A
1979.0,Julie Leach,0.0,N/A
1979.0,Jo Ann Dahlkoetter,0.0,N/A
1979.0,Julie Moss,0.0,N/A
1979.0,Kathleen McCartney,0.0,N/A
1979.0,Sally Edwards,0.0,N/A
1979.0,Lyn Brooks,0.0,N/A
1979.0,Linda Sweeney,0.0,N/A
1979.0,Eve Anderson,0.0,N/A
1979.0,Robin Beck,0.0,N/A
1979.0,Lyn Lemaire,1.0,12:55:38
1980.0,Anne Haug,0.0,N/A
1980.0,Sarah Crowley,0.0,N/A
1980.0,Lucy Charles,0.0,N/A
1980.0,Heather Jackson,0.0,N/A
1980.0,Daniela Ryf,0.0,N/A
1980.0,Rachel Joyce,0.0,N/A
1980.0,Liz Blatchford,0.0,N/A
1980.0,Leanda Cave,0.0,N/A
1980.0,Caroline Steffen,0.0,N/A
1980.0,Julie Dibens,0.0,N/A
1980.0,Virginia Berasategui,0.0,N/A
1980.0,Mirinda Carfrae,0.0,N/A
1980.0,Yvonne van Vlerken,0.0,N/A
1980.0,Sandra Wallenhorst,0.0,N/A
1980.0,Chrissie Wellington,0.0,N/A
1980.0,Samantha McGlone,0.0,N/A
1980.0,Lisa Bentley,0.0,N/A
1980.0,Desiree Ficker,0.0,N/A
1980.0,Michellie Jones,0.0,N/A
1980.0,Kate Major,0.0,N/A
1980.0,Nina Kraft,0.0,N/A
1980.0,Heather Fuhr,0.0,N/A
1980.0,Lori Bowden,0.0,N/A
1980.0,Natascha Badmann,0.0,N/A
1980.0,Isabelle Mouthon,0.0,N/A
1980.0,Fernanda Keller,0.0,N/A
1980.0,Karen Smyers,0.0,N/A
1980.0,Susan Latshaw,0.0,N/A
1980.0,Julie Anne White,0.0,N/A
1980.0,Thea Sybesma,0.0,N/A
1980.0,Sarah Coope,0.0,N/A
1980.0,Terri Schneider,0.0,N/A
1980.0,Kirsten Hanssen,0.0,N/A
1980.0,Erin Baker,0.0,N/A
1980.0,Joanne Ernst,0.0,N/A
1980.0,Paula Newby-Fraser,0.0,N/A
1980.0,Elizabeth Bulman,0.0,N/A
1980.0,Julie Olson,0.0,N/A
1980.0,Patricia Puntous,0.0,N/A
1980.0,Sylviane Puntous,0.0,N/A
1980.0,Eva Ueltzen,0.0,N/A
1980.0,Julie Leach,0.0,N/A
1980.0,Jo Ann Dahlkoetter,0.0,N/A
1980.0,Julie Moss,0.0,N/A
1980.0,Kathleen McCartney,0.0,N/A
1980.0,Sally Edwards,0.0,N/A
1980.0,Lyn Brooks,0.0,N/A
1980.0,Linda Sweeney,0.0,N/A
1980.0,Eve Anderson,2.0,15:40:59
1980.0,Robin Beck,1.0,11:21:24
1980.0,Lyn Lemaire,0.0,N/A
1981.0,Anne Haug,0.0,N/A
1981.0,Sarah Crowley,0.0,N/A
1981.0,Lucy Charles,0.0,N/A
1981.0,Heather Jackson,0.0,N/A
1981.0,Daniela Ryf,0.0,N/A
1981.0,Rachel Joyce,0.0,N/A
1981.0,Liz Blatchford,0.0,N/A
1981.0,Leanda Cave,0.0,N/A
1981.0,Caroline Steffen,0.0,N/A
1981.0,Julie Dibens,0.0,N/A
1981.0,Virginia Berasategui,0.0,N/A
1981.0,Mirinda Carfrae,0.0,N/A
1981.0,Yvonne van Vlerken,0.0,N/A
1981.0,Sandra Wallenhorst,0.0,N/A
1981.0,Chrissie Wellington,0.0,N/A
1981.0,Samantha McGlone,0.0,N/A
1981.0,Lisa Bentley,0.0,N/A
1981.0,Desiree Ficker,0.0,N/A
1981.0,Michellie Jones,0.0,N/A
1981.0,Kate Major,0.0,N/A
1981.0,Nina Kraft,0.0,N/A
1981.0,Heather Fuhr,0.0,N/A
1981.0,Lori Bowden,0.0,N/A
1981.0,Natascha Badmann,0.0,N/A
1981.0,Isabelle Mouthon,0.0,N/A
1981.0,Fernanda Keller,0.0,N/A
1981.0,Karen Smyers,0.0,N/A
1981.0,Susan Latshaw,0.0,N/A
1981.0,Julie Anne White,0.0,N/A
1981.0,Thea Sybesma,0.0,N/A
1981.0,Sarah Coope,0.0,N/A
1981.0,Terri Schneider,0.0,N/A
1981.0,Kirsten Hanssen,0.0,N/A
1981.0,Erin Baker,0.0,N/A
1981.0,Joanne Ernst,0.0,N/A
1981.0,Paula Newby-Fraser,0.0,N/A
1981.0,Elizabeth Bulman,0.0,N/A
1981.0,Julie Olson,0.0,N/A
1981.0,Patricia Puntous,0.0,N/A
1981.0,Sylviane Puntous,0.0,N/A
1981.0,Eva Ueltzen,0.0,N/A
1981.0,Julie Leach,0.0,N/A
1981.0,Jo Ann Dahlkoetter,0.0,N/A
1981.0,Julie Moss,0.0,N/A
1981.0,Kathleen McCartney,0.0,N/A
1981.0,Sally Edwards,2.0,12:37:25
1981.0,Lyn Brooks,3.0,12:42:15
1981.0,Linda Sweeney,1.0,12:02:32
1981.0,Eve Anderson,0.0,N/A
1981.0,Robin Beck,0.0,N/A
1981.0,Lyn Lemaire,0.0,N/A
1982.0,Anne Haug,0.0,N/A
1982.0,Sarah Crowley,0.0,N/A
1982.0,Lucy Charles,0.0,N/A
1982.0,Heather Jackson,0.0,N/A
1982.0,Daniela Ryf,0.0,N/A
1982.0,Rachel Joyce,0.0,N/A
1982.0,Liz Blatchford,0.0,N/A
1982.0,Leanda Cave,0.0,N/A
1982.0,Caroline Steffen,0.0,N/A
1982.0,Julie Dibens,0.0,N/A
1982.0,Virginia Berasategui,0.0,N/A
1982.0,Mirinda Carfrae,0.0,N/A
1982.0,Yvonne van Vlerken,0.0,N/A
1982.0,Sandra Wallenhorst,0.0,N/A
1982.0,Chrissie Wellington,0.0,N/A
1982.0,Samantha McGlone,0.0,N/A
1982.0,Lisa Bentley,0.0,N/A
1982.0,Desiree Ficker,0.0,N/A
1982.0,Michellie Jones,0.0,N/A
1982.0,Kate Major,0.0,N/A
1982.0,Nina Kraft,0.0,N/A
1982.0,Heather Fuhr,0.0,N/A
1982.0,Lori Bowden,0.0,N/A
1982.0,Natascha Badmann,0.0,N/A
1982.0,Isabelle Mouthon,0.0,N/A
1982.0,Fernanda Keller,0.0,N/A
1982.0,Karen Smyers,0.0,N/A
1982.0,Susan Latshaw,0.0,N/A
1982.0,Julie Anne White,0.0,N/A
1982.0,Thea Sybesma,0.0,N/A
1982.0,Sarah Coope,0.0,N/A
1982.0,Terri Schneider,0.0,N/A
1982.0,Kirsten Hanssen,0.0,N/A
1982.0,Erin Baker,0.0,N/A
1982.0,Joanne Ernst,0.0,N/A
1982.0,Paula Newby-Fraser,0.0,N/A
1982.0,Elizabeth Bulman,0.0,N/A
1982.0,Julie Olson,0.0,N/A
1982.0,Patricia Puntous,0.0,N/A
1982.0,Sylviane Puntous,0.0,N/A
1982.0,Eva Ueltzen,0.0,N/A
1982.0,Julie Leach,0.0,N/A
1982.0,Jo Ann Dahlkoetter,0.0,N/A
1982.0,Julie Moss,2.0,11:10:09
1982.0,Kathleen McCartney,1.0,11:09:40
1982.0,Sally Edwards,0.0,N/A
1982.0,Lyn Brooks,3.0,11:51:00
1982.0,Linda Sweeney,0.0,N/A
1982.0,Eve Anderson,0.0,N/A
1982.0,Robin Beck,0.0,N/A
1982.0,Lyn Lemaire,0.0,N/A
1982.5,Anne Haug,0.0,N/A
1982.5,Sarah Crowley,0.0,N/A
1982.5,Lucy Charles,0.0,N/A
1982.5,Heather Jackson,0.0,N/A
1982.5,Daniela Ryf,0.0,N/A
1982.5,Rachel Joyce,0.0,N/A
1982.5,Liz Blatchford,0.0,N/A
1982.5,Leanda Cave,0.0,N/A
1982.5,Caroline Steffen,0.0,N/A
1982.5,Julie Dibens,0.0,N/A
1982.5,Virginia Berasategui,0.0,N/A
1982.5,Mirinda Carfrae,0.0,N/A
1982.5,Yvonne van Vlerken,0.0,N/A
1982.5,Sandra Wallenhorst,0.0,N/A
1982.5,Chrissie Wellington,0.0,N/A
1982.5,Samantha McGlone,0.0,N/A
1982.5,Lisa Bentley,0.0,N/A
1982.5,Desiree Ficker,0.0,N/A
1982.5,Michellie Jones,0.0,N/A
1982.5,Kate Major,0.0,N/A
1982.5,Nina Kraft,0.0,N/A
1982.5,Heather Fuhr,0.0,N/A
1982.5,Lori Bowden,0.0,N/A
1982.5,Natascha Badmann,0.0,N/A
1982.5,Isabelle Mouthon,0.0,N/A
1982.5,Fernanda Keller,0.0,N/A
1982.5,Karen Smyers,0.0,N/A
1982.5,Susan Latshaw,0.0,N/A
1982.5,Julie Anne White,0.0,N/A
1982.5,Thea Sybesma,0.0,N/A
1982.5,Sarah Coope,0.0,N/A
1982.5,Terri Schneider,0.0,N/A
1982.5,Kirsten Hanssen,0.0,N/A
1982.5,Erin Baker,0.0,N/A
1982.5,Joanne Ernst,0.0,N/A
1982.5,Paula Newby-Fraser,0.0,N/A
1982.5,Elizabeth Bulman,0.0,N/A
1982.5,Julie Olson,0.0,N/A
1982.5,Patricia Puntous,0.0,N/A
1982.5,Sylviane Puntous,0.0,N/A
1982.5,Eva Ueltzen,0.0,N/A
1982.5,Julie Leach,1.0,10:54:08
1982.5,Jo Ann Dahlkoetter,2.0,10:58:21
1982.5,Julie Moss,0.0,N/A
1982.5,Kathleen McCartney,0.0,N/A
1982.5,Sally Edwards,3.0,11:03:00
1982.5,Lyn Brooks,0.0,N/A
1982.5,Linda Sweeney,0.0,N/A
1982.5,Eve Anderson,0.0,N/A
1982.5,Robin Beck,0.0,N/A
1982.5,Lyn Lemaire,0.0,N/A
1983.0,Anne Haug,0.0,N/A
1983.0,Sarah Crowley,0.0,N/A
1983.0,Lucy Charles,0.0,N/A
1983.0,Heather Jackson,0.0,N/A
1983.0,Daniela Ryf,0.0,N/A
1983.0,Rachel Joyce,0.0,N/A
1983.0,Liz Blatchford,0.0,N/A
1983.0,Leanda Cave,0.0,N/A
1983.0,Caroline Steffen,0.0,N/A
1983.0,Julie Dibens,0.0,N/A
1983.0,Virginia Berasategui,0.0,N/A
1983.0,Mirinda Carfrae,0.0,N/A
1983.0,Yvonne van Vlerken,0.0,N/A
1983.0,Sandra Wallenhorst,0.0,N/A
1983.0,Chrissie Wellington,0.0,N/A
1983.0,Samantha McGlone,0.0,N/A
1983.0,Lisa Bentley,0.0,N/A
1983.0,Desiree Ficker,0.0,N/A
1983.0,Michellie Jones,0.0,N/A
1983.0,Kate Major,0.0,N/A
1983.0,Nina Kraft,0.0,N/A
1983.0,Heather Fuhr,0.0,N/A
1983.0,Lori Bowden,0.0,N/A
1983.0,Natascha Badmann,0.0,N/A
1983.0,Isabelle Mouthon,0.0,N/A
1983.0,Fernanda Keller,0.0,N/A
1983.0,Karen Smyers,0.0,N/A
1983.0,Susan Latshaw,0.0,N/A
1983.0,Julie Anne White,0.0,N/A
1983.0,Thea Sybesma,0.0,N/A
1983.0,Sarah Coope,0.0,N/A
1983.0,Terri Schneider,0.0,N/A
1983.0,Kirsten Hanssen,0.0,N/A
1983.0,Erin Baker,0.0,N/A
1983.0,Joanne Ernst,0.0,N/A
1983.0,Paula Newby-Fraser,0.0,N/A
1983.0,Elizabeth Bulman,0.0,N/A
1983.0,Julie Olson,0.0,N/A
1983.0,Patricia Puntous,2.0,10:49:17
1983.0,Sylviane Puntous,1.0,10:43:36
1983.0,Eva Ueltzen,3.0,11:01:49
1983.0,Julie Leach,0.0,N/A
1983.0,Jo Ann Dahlkoetter,0.0,N/A
1983.0,Julie Moss,0.0,N/A
1983.0,Kathleen McCartney,0.0,N/A
1983.0,Sally Edwards,0.0,N/A
1983.0,Lyn Brooks,0.0,N/A
1983.0,Linda Sweeney,0.0,N/A
1983.0,Eve Anderson,0.0,N/A
1983.0,Robin Beck,0.0,N/A
1983.0,Lyn Lemaire,0.0,N/A
1984.0,Anne Haug,0.0,N/A
1984.0,Sarah Crowley,0.0,N/A
1984.0,Lucy Charles,0.0,N/A
1984.0,Heather Jackson,0.0,N/A
1984.0,Daniela Ryf,0.0,N/A
1984.0,Rachel Joyce,0.0,N/A
1984.0,Liz Blatchford,0.0,N/A
1984.0,Leanda Cave,0.0,N/A
1984.0,Caroline Steffen,0.0,N/A
1984.0,Julie Dibens,0.0,N/A
1984.0,Virginia Berasategui,0.0,N/A
1984.0,Mirinda Carfrae,0.0,N/A
1984.0,Yvonne van Vlerken,0.0,N/A
1984.0,Sandra Wallenhorst,0.0,N/A
1984.0,Chrissie Wellington,0.0,N/A
1984.0,Samantha McGlone,0.0,N/A
1984.0,Lisa Bentley,0.0,N/A
1984.0,Desiree Ficker,0.0,N/A
1984.0,Michellie Jones,0.0,N/A
1984.0,Kate Major,0.0,N/A
1984.0,Nina Kraft,0.0,N/A
1984.0,Heather Fuhr,0.0,N/A
1984.0,Lori Bowden,0.0,N/A
1984.0,Natascha Badmann,0.0,N/A
1984.0,Isabelle Mouthon,0.0,N/A
1984.0,Fernanda Keller,0.0,N/A
1984.0,Karen Smyers,0.0,N/A
1984.0,Susan Latshaw,0.0,N/A
1984.0,Julie Anne White,0.0,N/A
1984.0,Thea Sybesma,0.0,N/A
1984.0,Sarah Coope,0.0,N/A
1984.0,Terri Schneider,0.0,N/A
1984.0,Kirsten Hanssen,0.0,N/A
1984.0,Erin Baker,0.0,N/A
1984.0,Joanne Ernst,0.0,N/A
1984.0,Paula Newby-Fraser,0.0,N/A
1984.0,Elizabeth Bulman,0.0,N/A
1984.0,Julie Olson,3.0,10:38:10
1984.0,Patricia Puntous,2.0,10:27:28
1984.0,Sylviane Puntous,1.0,10:25:13
1984.0,Eva Ueltzen,0.0,N/A
1984.0,Julie Leach,0.0,N/A
1984.0,Jo Ann Dahlkoetter,0.0,N/A
1984.0,Julie Moss,0.0,N/A
1984.0,Kathleen McCartney,0.0,N/A
1984.0,Sally Edwards,0.0,N/A
1984.0,Lyn Brooks,0.0,N/A
1984.0,Linda Sweeney,0.0,N/A
1984.0,Eve Anderson,0.0,N/A
1984.0,Robin Beck,0.0,N/A
1984.0,Lyn Lemaire,0.0,N/A
1985.0,Anne Haug,0.0,N/A
1985.0,Sarah Crowley,0.0,N/A
1985.0,Lucy Charles,0.0,N/A
1985.0,Heather Jackson,0.0,N/A
1985.0,Daniela Ryf,0.0,N/A
1985.0,Rachel Joyce,0.0,N/A
1985.0,Liz Blatchford,0.0,N/A
1985.0,Leanda Cave,0.0,N/A
1985.0,Caroline Steffen,0.0,N/A
1985.0,Julie Dibens,0.0,N/A
1985.0,Virginia Berasategui,0.0,N/A
1985.0,Mirinda Carfrae,0.0,N/A
1985.0,Yvonne van Vlerken,0.0,N/A
1985.0,Sandra Wallenhorst,0.0,N/A
1985.0,Chrissie Wellington,0.0,N/A
1985.0,Samantha McGlone,0.0,N/A
1985.0,Lisa Bentley,0.0,N/A
1985.0,Desiree Ficker,0.0,N/A
1985.0,Michellie Jones,0.0,N/A
1985.0,Kate Major,0.0,N/A
1985.0,Nina Kraft,0.0,N/A
1985.0,Heather Fuhr,0.0,N/A
1985.0,Lori Bowden,0.0,N/A
1985.0,Natascha Badmann,0.0,N/A
1985.0,Isabelle Mouthon,0.0,N/A
1985.0,Fernanda Keller,0.0,N/A
1985.0,Karen Smyers,0.0,N/A
1985.0,Susan Latshaw,0.0,N/A
1985.0,Julie Anne White,0.0,N/A
1985.0,Thea Sybesma,0.0,N/A
1985.0,Sarah Coope,0.0,N/A
1985.0,Terri Schneider,0.0,N/A
1985.0,Kirsten Hanssen,0.0,N/A
1985.0,Erin Baker,0.0,N/A
1985.0,Joanne Ernst,1.0,10:25:22
1985.0,Paula Newby-Fraser,3.0,10:31:04
1985.0,Elizabeth Bulman,2.0,10:26:55
1985.0,Julie Olson,0.0,N/A
1985.0,Patricia Puntous,0.0,N/A
1985.0,Sylviane Puntous,0.0,N/A
1985.0,Eva Ueltzen,0.0,N/A
1985.0,Julie Leach,0.0,N/A
1985.0,Jo Ann Dahlkoetter,0.0,N/A
1985.0,Julie Moss,0.0,N/A
1985.0,Kathleen McCartney,0.0,N/A
1985.0,Sally Edwards,0.0,N/A
1985.0,Lyn Brooks,0.0,N/A
1985.0,Linda Sweeney,0.0,N/A
1985.0,Eve Anderson,0.0,N/A
1985.0,Robin Beck,0.0,N/A
1985.0,Lyn Lemaire,0.0,N/A
1986.0,Anne Haug,0.0,N/A
1986.0,Sarah Crowley,0.0,N/A
1986.0,Lucy Charles,0.0,N/A
1986.0,Heather Jackson,0.0,N/A
1986.0,Daniela Ryf,0.0,N/A
1986.0,Rachel Joyce,0.0,N/A
1986.0,Liz Blatchford,0.0,N/A
1986.0,Leanda Cave,0.0,N/A
1986.0,Caroline Steffen,0.0,N/A
1986.0,Julie Dibens,0.0,N/A
1986.0,Virginia Berasategui,0.0,N/A
1986.0,Mirinda Carfrae,0.0,N/A
1986.0,Yvonne van Vlerken,0.0,N/A
1986.0,Sandra Wallenhorst,0.0,N/A
1986.0,Chrissie Wellington,0.0,N/A
1986.0,Samantha McGlone,0.0,N/A
1986.0,Lisa Bentley,0.0,N/A
1986.0,Desiree Ficker,0.0,N/A
1986.0,Michellie Jones,0.0,N/A
1986.0,Kate Major,0.0,N/A
1986.0,Nina Kraft,0.0,N/A
1986.0,Heather Fuhr,0.0,N/A
1986.0,Lori Bowden,0.0,N/A
1986.0,Natascha Badmann,0.0,N/A
1986.0,Isabelle Mouthon,0.0,N/A
1986.0,Fernanda Keller,0.0,N/A
1986.0,Karen Smyers,0.0,N/A
1986.0,Susan Latshaw,0.0,N/A
1986.0,Julie Anne White,0.0,N/A
1986.0,Thea Sybesma,0.0,N/A
1986.0,Sarah Coope,0.0,N/A
1986.0,Terri Schneider,0.0,N/A
1986.0,Kirsten Hanssen,0.0,N/A
1986.0,Erin Baker,0.0,N/A
1986.0,Joanne Ernst,3.0,10:00:07
1986.0,Paula Newby-Fraser,1.0,09:49:14
1986.0,Elizabeth Bulman,0.0,N/A
1986.0,Julie Olson,0.0,N/A
1986.0,Patricia Puntous,0.0,N/A
1986.0,Sylviane Puntous,2.0,09:53:13
1986.0,Eva Ueltzen,0.0,N/A
1986.0,Julie Leach,0.0,N/A
1986.0,Jo Ann Dahlkoetter,0.0,N/A
1986.0,Julie Moss,0.0,N/A
1986.0,Kathleen McCartney,0.0,N/A
1986.0,Sally Edwards,0.0,N/A
1986.0,Lyn Brooks,0.0,N/A
1986.0,Linda Sweeney,0.0,N/A
1986.0,Eve Anderson,0.0,N/A
1986.0,Robin Beck,0.0,N/A
1986.0,Lyn Lemaire,0.0,N/A
1987.0,Anne Haug,0.0,N/A
1987.0,Sarah Crowley,0.0,N/A
1987.0,Lucy Charles,0.0,N/A
1987.0,Heather Jackson,0.0,N/A
1987.0,Daniela Ryf,0.0,N/A
1987.0,Rachel Joyce,0.0,N/A
1987.0,Liz Blatchford,0.0,N/A
1987.0,Leanda Cave,0.0,N/A
1987.0,Caroline Steffen,0.0,N/A
1987.0,Julie Dibens,0.0,N/A
1987.0,Virginia Berasategui,0.0,N/A
1987.0,Mirinda Carfrae,0.0,N/A
1987.0,Yvonne van Vlerken,0.0,N/A
1987.0,Sandra Wallenhorst,0.0,N/A
1987.0,Chrissie Wellington,0.0,N/A
1987.0,Samantha McGlone,0.0,N/A
1987.0,Lisa Bentley,0.0,N/A
1987.0,Desiree Ficker,0.0,N/A
1987.0,Michellie Jones,0.0,N/A
1987.0,Kate Major,0.0,N/A
1987.0,Nina Kraft,0.0,N/A
1987.0,Heather Fuhr,0.0,N/A
1987.0,Lori Bowden,0.0,N/A
1987.0,Natascha Badmann,0.0,N/A
1987.0,Isabelle Mouthon,0.0,N/A
1987.0,Fernanda Keller,0.0,N/A
1987.0,Karen Smyers,0.0,N/A
1987.0,Susan Latshaw,0.0,N/A
1987.0,Julie Anne White,0.0,N/A
1987.0,Thea Sybesma,0.0,N/A
1987.0,Sarah Coope,0.0,N/A
1987.0,Terri Schneider,0.0,N/A
1987.0,Kirsten Hanssen,0.0,N/A
1987.0,Erin Baker,1.0,09:35:25
1987.0,Joanne Ernst,0.0,N/A
1987.0,Paula Newby-Fraser,3.0,09:40:37
1987.0,Elizabeth Bulman,0.0,N/A
1987.0,Julie Olson,0.0,N/A
1987.0,Patricia Puntous,0.0,N/A
1987.0,Sylviane Puntous,2.0,09:36:57
1987.0,Eva Ueltzen,0.0,N/A
1987.0,Julie Leach,0.0,N/A
1987.0,Jo Ann Dahlkoetter,0.0,N/A
1987.0,Julie Moss,0.0,N/A
1987.0,Kathleen McCartney,0.0,N/A
1987.0,Sally Edwards,0.0,N/A
1987.0,Lyn Brooks,0.0,N/A
1987.0,Linda Sweeney,0.0,N/A
1987.0,Eve Anderson,0.0,N/A
1987.0,Robin Beck,0.0,N/A
1987.0,Lyn Lemaire,0.0,N/A
1988.0,Anne Haug,0.0,N/A
1988.0,Sarah Crowley,0.0,N/A
1988.0,Lucy Charles,0.0,N/A
1988.0,Heather Jackson,0.0,N/A
1988.0,Daniela Ryf,0.0,N/A
1988.0,Rachel Joyce,0.0,N/A
1988.0,Liz Blatchford,0.0,N/A
1988.0,Leanda Cave,0.0,N/A
1988.0,Caroline Steffen,0.0,N/A
1988.0,Julie Dibens,0.0,N/A
1988.0,Virginia Berasategui,0.0,N/A
1988.0,Mirinda Carfrae,0.0,N/A
1988.0,Yvonne van Vlerken,0.0,N/A
1988.0,Sandra Wallenhorst,0.0,N/A
1988.0,Chrissie Wellington,0.0,N/A
1988.0,Samantha McGlone,0.0,N/A
1988.0,Lisa Bentley,0.0,N/A
1988.0,Desiree Ficker,0.0,N/A
1988.0,Michellie Jones,0.0,N/A
1988.0,Kate Major,0.0,N/A
1988.0,Nina Kraft,0.0,N/A
1988.0,Heather Fuhr,0.0,N/A
1988.0,Lori Bowden,0.0,N/A
1988.0,Natascha Badmann,0.0,N/A
1988.0,Isabelle Mouthon,0.0,N/A
